title,sentiment,score,publishedAt,source
Tesla And Elon Musk Being Sued For Ripping Off ‘Blade Runner 2049’ Despite Warnings Not To,negative,0.7973071336746216,2025-04-09T14:12:36Z,BroBible
"Tesla Named 'Best Idea' at Benchmark, Cites Robotaxi Rollout as Major Catalyst",positive,0.8546507358551025,2025-04-09T14:09:52Z,Yahoo Entertainment
Tesla Underdelivers,neutral,0.9105811715126038,2025-04-09T14:00:29Z,Biztoc.com
Greases Market to Surpass USD 8.70 Billion by 2032 Amid Rising Demand from Automotive and Industrial Sectors | SNS Insider,positive,0.9506296515464783,2025-04-09T14:00:00Z,GlobeNewswire
"Trump Forecasts GOP Landslide In 2026, Touts Tariffs As Key Advantage; Musk Warns Tesla Attackers Face Prison; China Targets US Services Like Disney, IMAX In Trade Retaliation - Top Headlines While the US Slept",negative,0.5674442648887634,2025-04-09T13:59:36Z,Biztoc.com
Elon Musk vs Peter Navarro: Two of Donald Trump's trusted advisers -- business tycoons and Harvard-trained economist -- are clashing. Here's why,neutral,0.5828940868377686,2025-04-09T13:58:25Z,The Times of India
Polestar 3 beats Tesla to become the safest car for kids,positive,0.8177518248558044,2025-04-09T13:57:17Z,AutoExpress
Stock futures under pressure as tariffs take hold: Live Updates - Fox Business,neutral,0.5816148519515991,2025-04-09T13:52:32Z,Slashdot.org
"Stock market today: Dow, S&P 500, Nasdaq soar as Trump announces '90 day pause' on tariffs for most countries, ups levies on China",negative,0.4799933135509491,2025-04-09T13:36:16Z,Yahoo Entertainment
Questions remain after dead horse found in downtown Atlanta,negative,0.8241524696350098,2025-04-09T13:35:33Z,Freerepublic.com
Don't Trust the Experts. Make Them Up!,neutral,0.6587544679641724,2025-04-09T13:30:14Z,Reason
AI goes ballistic on Elon Musk in savage 'merciless' roast—And the internet can’t stop laughing: 'I almost felt bad for him',negative,0.7979521155357361,2025-04-09T13:29:30Z,The Times of India
‘Money can’t buy brain’: Elon Musk mercilessly trolled during ‘Path of Exile’ live stream,neutral,0.8356819748878479,2025-04-09T13:23:30Z,The Daily Dot
Fox Business Host Mocks Peter Navarro’s ‘Girl Math’ Used To Justify Trump Tariffs,negative,0.6731488108634949,2025-04-09T13:20:00Z,HuffPost
Nuro secures $6 billion valuation in latest funding round,positive,0.7371199131011963,2025-04-09T13:13:31Z,CNA
Musk to quit soon? Cracks emerge in once-solid Musk-Trump bond as Tesla chief lobbies against crushing tariffs at the White House,negative,0.9473801851272583,2025-04-09T13:12:13Z,The Times of India
Mullen and Enpower Greentech Inc. Enter Partnership and Supply Agreement to Build EGI’s SWIFT Series of Semi Solid-State Batteries,positive,0.9144947528839111,2025-04-09T13:10:00Z,GlobeNewswire
JENNY BETH MARTIN: Democrats Are So Far-Left They’ll Even Vote Against Election Integrity,neutral,0.6202583909034729,2025-04-09T13:09:21Z,The Daily Caller
Musk Brands Trump Aide 'Dumber Than A Sack Of Bricks' In Tariff Spat,negative,0.8010385632514954,2025-04-09T13:04:54Z,Ibtimes.com.au
Pro-Palestine Radicals Admit to Setting Fire to McDonald's Building in France,negative,0.8203579783439636,2025-04-09T13:00:45Z,Breitbart News
D.C. vs. NYC: How Trump Is Targeting New York City,neutral,0.9014632105827332,2025-04-09T13:00:11Z,New York Magazine
What Companies Can Learn From Fintech Innovation,neutral,0.9074281454086304,2025-04-09T13:00:00Z,Forbes
Emporia launches its ‘Pro’ Level 2 home EV charger that alleviates need for costly panel upgrades,positive,0.8145303726196289,2025-04-09T13:00:00Z,Electrek
Musk: Navarro ‘dumber than bricks’ | Reporter Replay,neutral,0.7338749766349792,2025-04-09T12:53:57Z,New York Post
Forbes Recession Tracker: JPMorgan’s Jamie Dimon Says Recession ‘Probably’ Coming,negative,0.9277273416519165,2025-04-09T12:51:27Z,Forbes
"Delta, Walmart, Apple: Stocks to watch today",neutral,0.9149909615516663,2025-04-09T12:47:00Z,Quartz India
Wednesday headlines: Once upon a slime,neutral,0.8536757230758667,2025-04-09T12:45:00Z,Themorningnews.org
"As Musk Backlash Batters Tesla, SpaceX Could Be Next",neutral,0.9173341393470764,2025-04-09T12:42:45Z,Biztoc.com
"Walmart, Apple, Tesla, Delta, Peabody Energy, Nvidia, Ford, Cal-Maine, and More Market Movers",neutral,0.9348779916763306,2025-04-09T12:42:45Z,Biztoc.com
Microsoft Regains Crown as Apple's Shares Tumble Amid Tariff Turmoil,negative,0.9255772829055786,2025-04-09T12:39:18Z,International Business Times
The US Treasury’s OCC disclosed an undetected major email breach for over a year,negative,0.8769577741622925,2025-04-09T12:35:11Z,Securityaffairs.com
VTRS CLASS NOTICE: A Class Action was Filed on behalf of Viatris Inc. Investors -- Contact BFA Law before June 3 Legal Deadline (NASDAQ:VTRS),neutral,0.7093223929405212,2025-04-09T12:35:00Z,GlobeNewswire
ATKR CLASS NOTICE: A Class Action was Filed on behalf of Atkore Inc. Investors – Contact BFA Law before April 23 Legal Deadline (NYSE:ATKR),neutral,0.7976107001304626,2025-04-09T12:34:00Z,GlobeNewswire
TMDX CLASS NOTICE: A Class Action was Filed on behalf of TransMedics Group Investors – Contact BFA Law before April 15 Legal Deadline (NASDAQ:TMDX),neutral,0.7793758511543274,2025-04-09T12:34:00Z,GlobeNewswire
RC CLASS NOTICE: A Class Action was Filed on behalf of Ready Capital Investors -- Contact BFA Law before May 5 Legal Deadline (NYSE:RC),neutral,0.6683993339538574,2025-04-09T12:34:00Z,GlobeNewswire
"ALDX CLASS NOTICE: An Investigation has been Initiated on behalf of Aldeyra Therapeutics, Inc. Investors -- Contact BFA Law if You Lost Money (NASDAQ:ALDX)",neutral,0.7178632616996765,2025-04-09T12:34:00Z,GlobeNewswire
"TBBK CLASS NOTICE: A Class Action was Filed on behalf of Bancorp, Inc. Investors -- Contact BFA Law before May 16 Legal Deadline (NASDAQ:TBBK)",neutral,0.737445592880249,2025-04-09T12:34:00Z,GlobeNewswire
"FLNC CLASS NOTICE: A Class Action was Filed on behalf of Fluence Energy, Inc. Investors -- Contact BFA Law before May 12 Legal Deadline (NASDAQ:FLNC)",neutral,0.7827349305152893,2025-04-09T12:34:00Z,GlobeNewswire
"TTD CLASS NOTICE: A Class Action was Filed on behalf of Trade Desk, Inc. Investors -- Contact BFA Law before April 21 Legal Deadline (NASDAQ:TTD)",neutral,0.6626724600791931,2025-04-09T12:33:00Z,GlobeNewswire
"Dow Jones Futures Dive 800 Points On U.S.-China Trade War; Apple, Nvidia, Tesla Sell Off",negative,0.9097937941551208,2025-04-09T12:31:08Z,Biztoc.com
Test-Driving The 2025 BYD Seal: Is It Dog Friendly?,neutral,0.9126079082489014,2025-04-09T12:23:34Z,Forbes
China Hawk Peter Navarro Has Trump's Ear,neutral,0.86416095495224,2025-04-09T12:21:14Z,International Business Times
China hawk Peter Navarro has Trump’s ear,neutral,0.8185166716575623,2025-04-09T12:18:14Z,Digital Journal
"In Saudi debut, Tesla faces desert heat, few chargers, but no Musk protests",neutral,0.9195781350135803,2025-04-09T12:17:14Z,The Times of India
"Dow Jones Futures Dive 800 Points On U.S.-China Trade War; Apple, Nvidia, Tesla Sell Off",negative,0.9097937941551208,2025-04-09T12:16:31Z,Investor's Business Daily
"Violent attacks from anti-Musk, anti-Trump protesters plague nation, compel GOP lawmakers to take precautions",negative,0.896416962146759,2025-04-09T12:00:57Z,Fox News
How Rare Earths Are Playing a Pivotal Role in the U.S.-China Trade War,neutral,0.901008129119873,2025-04-09T12:00:00Z,Time
"The ultra-fast EV charging revolution could still be a way off, according to these early megawatt experiences",neutral,0.8818336129188538,2025-04-09T11:59:32Z,TechRadar
